罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,生実町,2022/9/2,20,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,生実町,2022/12/22,18,その他,その他,キーなし,あり,貨物自動車
窃盗,自動車盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,新浜町,2022/10/29,22,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,浜野町,2022/11/16,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,南生実町,2022/1/15,5,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,村田町,2022/1/15,16,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,村田町,2022/5/3,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,登戸交番,121011,千葉県,千葉市中央区,新千葉３丁目,2022/3/28,6,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,千葉中央,白旗交番,121011,千葉県,千葉市中央区,白旗１丁目,2022/4/29,19,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,都交番,121011,千葉県,千葉市中央区,亀岡町,2022/1/13,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,都交番,121011,千葉県,千葉市中央区,都町３丁目,2022/4/11,2,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,千葉中央,都交番,121011,千葉県,千葉市中央区,矢作町,2022/11/1,18,駐車（輪）場,駐車（輪）場,キーなし,なし,その他
窃盗,自動車盗,千葉南,あすみが丘駐在所,121053,千葉県,千葉市緑区,あすみが丘東１丁目,2022/4/6,17,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉南,土気駅前交番,121053,千葉県,千葉市緑区,大木戸町,2022/9/15,23,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉南,土気駅前交番,121053,千葉県,千葉市緑区,あすみが丘東１丁目,2022/4/6,22,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉南,学園前駅前交番,121053,千葉県,千葉市緑区,椎名崎町,2022/4/13,19,その他,その他,キーなし,なし,なし
窃盗,自動車盗,千葉南,学園前駅前交番,121053,千葉県,千葉市緑区,椎名崎町,2022/11/17,18,その他,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,千葉南,学園前駅前交番,121053,千葉県,千葉市緑区,古市場町,2022/4/3,22,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉南,学園前駅前交番,121053,千葉県,千葉市緑区,おゆみ野南６丁目,2022/8/3,0,一戸建住宅,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,千葉南,誉田交番,121053,千葉県,千葉市緑区,誉田町１丁目,2022/11/18,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉南,誉田交番,121053,千葉県,千葉市緑区,誉田町２丁目,2022/9/8,17,その他,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,千葉南,誉田交番,121053,千葉県,千葉市緑区,誉田町２丁目,2022/9/9,7,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,千葉南,誉田交番,121053,千葉県,千葉市緑区,おゆみ野５丁目,2022/2/27,2,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,千葉南,鎌取駅前交番,121053,千葉県,千葉市緑区,おゆみ野中央７丁目,2022/3/1,16,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,習志野,京成大久保駅前交番,122165,千葉県,習志野市,本大久保３丁目,2022/1/23,15,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,習志野,京成津田沼駅前交番,122165,千葉県,習志野市,鷺沼３丁目,2022/1/23,21,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,習志野,実籾交番,122165,千葉県,習志野市,東習志野８丁目,2022/12/17,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,習志野,実籾交番,122165,千葉県,習志野市,実籾２丁目,2022/11/20,10,その他,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,習志野,実籾交番,122165,千葉県,習志野市,実籾３丁目,2022/4/13,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,習志野,実籾交番,122165,千葉県,習志野市,実籾５丁目,2022/3/5,22,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,習志野,実籾交番,122165,千葉県,習志野市,実籾５丁目,2022/3/6,0,一戸建住宅,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,習志野,藤崎交番,122165,千葉県,習志野市,藤崎３丁目,2022/8/20,1,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,夏見交番,122041,千葉県,船橋市,金杉１丁目,2022/2/17,12,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,船橋,宮本交番,122041,千葉県,船橋市,東船橋４丁目,2022/6/14,16,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,船橋,新船橋駅前交番,122041,千葉県,船橋市,北本町２丁目,2022/8/2,23,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,東船橋駅前交番,122041,千葉県,船橋市,米ケ崎町,2022/5/27,19,その他,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,船橋,東船橋駅前交番,122041,千葉県,船橋市,夏見１丁目,2022/1/5,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,船橋駅前交番,122041,千葉県,船橋市,本町３丁目,2022/7/25,20,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,船橋,船橋駅前交番,122041,千葉県,船橋市,本町６丁目,2022/1/6,19,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,船橋駅前交番,122041,千葉県,船橋市,本町６丁目,2022/1/11,19,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,市川,中国分交番,122033,千葉県,市川市,中国分２丁目,2022/4/4,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,南八幡交番,122033,千葉県,市川市,南八幡４丁目,2022/11/28,1,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,国分交番,122033,千葉県,市川市,曽谷６丁目,2022/4/12,5,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,市川,大洲交番,122033,千葉県,市川市,大洲２丁目,2022/2/20,16,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,大野駅前交番,122033,千葉県,市川市,大野町２丁目,2022/11/17,15,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,市川,大野駅前交番,122033,千葉県,市川市,大野町２丁目,2022/12/18,16,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,市川,市川駅前交番,122033,千葉県,市川市,市川１丁目,2021/10/11,13,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,市川,本八幡交番,122033,千葉県,市川市,八幡３丁目,2022/8/23,11,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,柏井交番,122033,千葉県,市川市,柏井町１丁目,2022/12/10,10,道路上,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,柏井交番,122033,千葉県,市川市,柏井町３丁目,2022/11/22,18,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,柏井交番,122033,千葉県,市川市,北方町４丁目,2022/2/1,6,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,若宮交番,122033,千葉県,市川市,北方２丁目,2022/2/1,23,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,若宮交番,122033,千葉県,市川市,南大野１丁目,2022/7/10,13,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,浦安,富岡交番,122271,千葉県,浦安市,鉄鋼通り２丁目,2022/5/2,17,その他,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,浦安,新浦安駅前交番,122271,千葉県,浦安市,美浜１丁目,2022/1/26,20,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,新浦安駅前交番,122271,千葉県,浦安市,美浜１丁目,2022/1/28,15,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,日の出交番,122271,千葉県,浦安市,明海２丁目,2022/9/3,2,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,日の出交番,122271,千葉県,浦安市,日の出１丁目,2022/1/30,22,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,舞浜駅前交番,122271,千葉県,浦安市,舞浜２丁目,2022/9/25,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,二十世紀が丘交番,122076,千葉県,松戸市,二十世紀が丘美野里町,2022/9/20,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,八柱交番,122076,千葉県,松戸市,日暮１丁目,2021/12/27,23,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,小根本交番,122076,千葉県,松戸市,栄町西５丁目,2022/7/20,14,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,松戸,松戸駅前交番,122076,千葉県,松戸市,本町,不明,不明,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,松飛台交番,122076,千葉県,松戸市,牧の原,2021/12/27,12,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松戸,栄町交番,122076,千葉県,松戸市,古ケ崎,2022/7/24,2,一戸建住宅,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,松戸,矢切交番,122076,千葉県,松戸市,上矢切,2022/3/3,23,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,松戸,稔台交番,122076,千葉県,松戸市,松戸新田,2022/5/17,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,稔台交番,122076,千葉県,松戸市,松戸新田,2022/7/12,16,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,松戸,馬橋西交番,122076,千葉県,松戸市,西馬橋相川町,2022/10/10,13,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,野田,二川交番,122084,千葉県,野田市,柏寺,2022/11/29,19,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,野田,二川交番,122084,千葉県,野田市,木間ケ瀬,2021/12/22,9,駐車（輪）場,駐車（輪）場,キーあり,あり,その他
窃盗,自動車盗,野田,二川交番,122084,千葉県,野田市,木間ケ瀬,2022/3/18,16,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,野田,二川交番,122084,千葉県,野田市,木間ケ瀬,2022/5/11,13,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,二川交番,122084,千葉県,野田市,木間ケ瀬,2022/9/8,19,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,野田,二川交番,122084,千葉県,野田市,木間ケ瀬,2022/9/20,12,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,野田,二川交番,122084,千葉県,野田市,桐ケ作,2022/11/15,14,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,野田,二川交番,122084,千葉県,野田市,新田戸,2022/5/25,11,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,岩名,2022/6/21,1,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,岩名２丁目,2022/7/9,15,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,岩名２丁目,2022/9/13,0,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,尾崎,2022/4/8,20,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,尾崎,2022/8/24,20,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,七光台,2022/8/3,0,その他,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,東金野井,2022/3/17,6,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,船形,2022/7/17,15,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,光葉町３丁目,2022/3/16,8,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,川間駅前交番,122084,千葉県,野田市,光葉町３丁目,2022/10/7,0,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,東部駐在所,122084,千葉県,野田市,鶴奉,2022/7/19,20,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,東部駐在所,122084,千葉県,野田市,目吹,2022/2/9,19,その他,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,堤根,2022/6/23,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,花井,2022/1/2,19,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,山崎,2022/3/18,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,なし
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,山崎,2022/3/27,12,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,山崎貝塚町,2022/8/30,16,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,みずき１丁目,2022/8/4,0,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,みずき１丁目,2022/10/18,22,一戸建住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,みずき１丁目,2022/11/29,6,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,みずき３丁目,2022/2/16,1,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,みずき３丁目,2022/8/3,20,一戸建住宅,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,みずき４丁目,2022/8/30,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,梅郷駅前交番,122084,千葉県,野田市,桜の里３丁目,2022/11/10,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,福田駐在所,122084,千葉県,野田市,瀬戸,2022/12/19,22,その他,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,野田,船形駐在所,122084,千葉県,野田市,船形,2022/3/27,10,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,野田,船形駐在所,122084,千葉県,野田市,船形,2022/3/28,3,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,野田,船形駐在所,122084,千葉県,野田市,船形,2022/3/31,16,その他,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,野田,船形駐在所,122084,千葉県,野田市,船形,2022/4/5,11,その他,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,野田,船形駐在所,122084,千葉県,野田市,船形,2022/6/1,14,その他,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,船形駐在所,122084,千葉県,野田市,船形,2022/7/20,18,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,野田,野田市駅前交番,122084,千葉県,野田市,上花輪,2022/9/7,19,道路上,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,野田市駅前交番,122084,千葉県,野田市,清水,2022/5/24,1,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,野田市駅前交番,122084,千葉県,野田市,清水,2022/11/8,22,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,野田市駅前交番,122084,千葉県,野田市,中根,2022/5/9,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,野田市駅前交番,122084,千葉県,野田市,中根,2022/7/25,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,野田市駅前交番,122084,千葉県,野田市,中根,2022/8/1,0,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,野田,野田市駅前交番,122084,千葉県,野田市,中野台,2022/11/3,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,野田市駅前交番,122084,千葉県,野田市,野田,2022/7/20,0,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,野田,野田市駅前交番,122084,千葉県,野田市,宮崎,2022/5/16,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,野田,関宿駐在所,122084,千葉県,野田市,関宿台町,2022/1/24,16,その他,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,野田,関宿駐在所,122084,千葉県,野田市,関宿台町,2022/12/3,17,その他,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,野田,関宿駐在所,122084,千葉県,野田市,関宿町,2022/5/7,19,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,柏,光ヶ丘交番,122173,千葉県,柏市,今谷上町,2022/3/26,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,光ヶ丘交番,122173,千葉県,柏市,今谷上町,2022/5/22,9,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,光ヶ丘交番,122173,千葉県,柏市,酒井根２丁目,2022/2/15,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,光ヶ丘交番,122173,千葉県,柏市,酒井根３丁目,2022/4/4,22,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,光ヶ丘交番,122173,千葉県,柏市,酒井根７丁目,2022/5/13,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,北柏駅前交番,122173,千葉県,柏市,北柏１丁目,2022/3/28,8,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,北柏駅前交番,122173,千葉県,柏市,北柏２丁目,2022/3/20,11,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,北柏駅前交番,122173,千葉県,柏市,北柏２丁目,2022/4/27,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,北柏駅前交番,122173,千葉県,柏市,北柏４丁目,2022/4/15,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,北柏駅前交番,122173,千葉県,柏市,宿連寺,2022/3/25,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,柏,北柏駅前交番,122173,千葉県,柏市,宿連寺,2022/3/25,20,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,柏,北柏駅前交番,122173,千葉県,柏市,根戸,2022/4/7,12,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,北柏駅前交番,122173,千葉県,柏市,根戸,2022/8/29,19,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,南増尾交番,122173,千葉県,柏市,逆井,2022/11/23,17,その他,その他,キーあり,なし,特殊自動車
窃盗,自動車盗,柏,増尾駅前交番,122173,千葉県,柏市,加賀３丁目,2022/2/13,16,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,増尾駅前交番,122173,千葉県,柏市,藤心,2022/12/25,16,その他,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,柏,増尾駅前交番,122173,千葉県,柏市,増尾台４丁目,2022/2/26,18,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,大津ヶ丘交番,122173,千葉県,柏市,大井,2022/3/15,21,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,柏,大津ヶ丘交番,122173,千葉県,柏市,塚崎,2021/12/27,18,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,大津ヶ丘交番,122173,千葉県,柏市,塚崎,2022/4/4,22,その他,駐車（輪）場,キーあり,なし,なし
窃盗,自動車盗,柏,旭町交番,122173,千葉県,柏市,旭町６丁目,2022/12/5,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,旭町交番,122173,千葉県,柏市,篠籠田,2022/3/16,22,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,柏,松葉町交番,122173,千葉県,柏市,大室１丁目,2022/9/1,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,松葉町交番,122173,千葉県,柏市,十余二,2022/4/15,18,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,松葉町交番,122173,千葉県,柏市,松ケ崎,2022/3/21,13,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,柏,松葉町交番,122173,千葉県,柏市,松葉町６丁目,2022/1/17,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,松葉町交番,122173,千葉県,柏市,松葉町７丁目,2022/8/8,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,松葉町交番,122173,千葉県,柏市,松葉町７丁目,2022/8/30,18,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,松葉町交番,122173,千葉県,柏市,松葉町７丁目,2022/10/20,1,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,柏,柏の葉キャンパス交番,122173,千葉県,柏市,正連寺,2022/9/1,21,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,柏,柏の葉キャンパス交番,122173,千葉県,柏市,若柴,2022/6/10,10,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,柏の葉キャンパス交番,122173,千葉県,柏市,若柴,2022/7/19,9,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,柏,柏の葉キャンパス交番,122173,千葉県,柏市,若柴,2022/10/17,21,その他,駐車（輪）場,キーあり,あり,乗用自動車
